Config;Sets;SetMisses;Gets;GetMisses;CacheSize;CacheThreads;Frequency;E_ext;E_arm;E_mem;E_g3d;E_kfc;t_user;t_system;t_wall;perc_cpu;size_resident;cycles;instructions_k;instructions_u;LLC-store;LLC-store-misses;LLC-loads;LLC-load-misses
big;200064;0;1799936;1498756;32;1;200;1875.600;86.266367;34.202887;17.553146;5.765486;77.09;387.57;466.667246659;96;37160;202263392221;63325709510;6667960816;938053649;40326410;4016515915;99500800
big;200064;0;1799936;1493333;32;1;300;1332.00;80.942458;24.601809;12.108783;4.036524;52.30;267.43;321.765258876;99;37232;209020381586;61946321457;6665172451;921894751;36175773;3961559719;93977004
big;200064;0;1799936;1492574;32;1;400;1054.800;78.639104;19.655305;9.401724;3.203340;39.51;205.04;247.955849617;98;37232;212577901223;60489312668;6665363368;911341818;34736020;3904967505;91547717
big;200064;0;1799936;1491731;32;1;500;896.400;78.158077;16.765724;7.814782;2.677340;32.07;168.17;205.802771035;97;37228;216908382182;59341845809;6669799475;919925798;33551785;3825799227;90974949
big;200064;0;1799936;1494032;32;1;600;784.800;77.571850;14.715376;6.708604;2.298357;27.84;142.27;176.637720789;96;37152;219370094046;58132827393;6667319361;901279726;33488310;3820483074;91056424
big;200064;0;1799936;1494896;32;1;700;723.600;78.732469;13.594996;6.085294;2.085064;24.00;126.53;159.978716907;93;37160;227690927666;57873737982;6672521821;874598743;32613545;3737713549;91660871
big;200064;0;1799936;1497329;32;1;800;673.200;84.126599;12.487240;5.504064;1.885710;21.63;110.60;144.557379391;91;37312;231230578870;57361486276;6674679178;891509494;31842946;3676940665;90192177
big;200064;0;1799936;1497653;32;1;900;644.400;89.517310;11.774247;5.126922;1.784455;19.82;100.64;134.672276800;89;37192;237997698594;57115030689;6678707848;902462731;31741304;3731520816;90814110
big;200064;0;1799936;1498214;32;1;1000;622.800;96.567025;11.187494;4.801065;1.721861;17.67;92.60;126.557456899;86;37240;245110472165;56935742296;6682784030;906367241;31687937;3657174889;90502353
big;200064;0;1799936;1498401;32;1;1100;622.800;106.389286;10.936329;4.676666;1.716864;16.69;88.24;122.904519280;85;37260;257155737476;57013912857;6686936034;877558907;32199333;3676980380;91253229
big;200064;0;1799936;1498778;32;1;1200;615.600;115.547472;10.576808;4.555423;1.681359;13.81;83.85;117.538164173;82;37252;263786862477;57073906950;6784482614;922135833;31562154;3724162240;91048350
big;200064;0;1799936;1498896;32;1;1300;619.200;126.611619;10.375350;4.531227;1.696613;14.94;77.97;114.925634985;80;37172;272329928727;57205970889;6725222445;904163404;32208293;3745116791;90898962
big;200064;0;1799936;1498574;32;1;1400;633.600;136.643491;10.377454;4.589350;1.712919;14.42;75.77;115.409467575;77;37312;287414788513;57726655111;6740011366;920481001;31381282;3812916489;89657794
big;200064;0;1799936;1498373;32;1;1500;651.600;150.563555;10.357466;4.610653;1.727384;13.81;72.80;115.707263976;74;37176;298311273123;58167983826;6742149278;952157877;30889317;3862393016;89190907
big;200064;0;1799936;1498643;32;1;1600;716.400;192.993082;10.495804;4.681137;1.829165;12.49;68.01;117.195504788;68;36984;319030764876;58905756981;6768506940;967293076;30965059;3898008844;89575413
big;200064;0;1799936;1498295;32;1;1700;709.200;192.854218;10.421112;4.628537;1.800498;12.83;67.79;115.979420519;69;37196;320426549485;59004207022;6784217245;973993221;31120268;3918089100;90106443
big;200064;0;1799936;1498526;32;1;1800;745.200;220.506038;10.462929;4.686397;1.949619;12.54;67.03;115.792610056;68;37260;337440369533;59154253022;7012841104;950423110;31988857;3946049020;93528385
big;200064;0;1799936;1499201;32;1;1900;792.00;254.392536;10.361674;4.713486;1.939099;11.93;64.20;115.851505774;65;37256;341365923200;59089958172;6766361340;949446711;30135994;3867682374;88809105
big;200064;0;1799936;1498618;32;1;2000;871.200;311.539017;10.415589;4.814478;2.140557;11.39;62.70;116.001029599;63;37256;351119121160;59168182814;6795768301;959468220;31312040;3939357888;88817180
big;200064;0;1799936;1498578;32;2;200;1717.200;83.676869;31.421925;15.865475;5.197406;91.42;409.95;424.590147394;117;37284;202892507193;65467476279;6978812981;951282612;37589372;3873770711;99025893
big;200064;0;1799936;1498349;32;2;300;1220.400;76.418332;22.614844;11.043370;3.589424;60.19;239.53;294.162721198;101;37208;195501859618;61997977499;6952537807;863451909;35012609;3517613002;95881412
big;200064;0;1799936;1498126;32;2;400;975.600;74.263573;18.259038;8.677948;2.907991;46.64;173.52;229.624018654;95;37352;196667102900;60327840783;6955248277;848509976;32841870;3460139198;93438820
big;200064;0;1799936;1497767;32;2;500;838.800;74.488175;15.696629;7.304562;2.490084;37.65;141.17;192.720786201;92;37220;203082937286;60012180999;6980826153;851994132;31772703;3452377085;92315172
big;200064;0;1799936;1499211;32;2;600;748.800;75.575417;14.004750;6.386955;2.183163;32.84;123.00;167.902552373;92;37348;212516633468;59914617895;6994881666;866025413;31136838;3501529040;90387021
big;200064;0;1799936;1498388;32;2;700;684.00;76.989042;12.753922;5.738397;1.950671;29.09;110.23;149.941940495;92;37336;221857646104;60052889113;7003216683;870759116;31110867;3491589642;89912420
big;200064;0;1799936;1498935;32;2;800;644.400;83.101688;11.842364;5.237908;1.781299;25.16;103.92;137.018416401;93;37312;233621973010;60229135024;7000749045;878077066;31479451;3547584923;90178805
big;200064;0;1799936;1498074;32;2;900;612.00;90.422293;11.079138;4.776080;1.648221;24.45;102.02;125.438884696;100;37308;249161117284;60474458074;6992289500;894226077;32104472;3680305340;90922782
big;200064;0;1799936;1498870;32;2;1000;594.000;102.006391;10.441626;4.443648;1.601933;21.57;113.32;116.430896594;115;37236;275422450526;61254975563;6968115884;964065758;32224613;3965631734;89637177
big;200064;0;1799936;1499250;32;2;1100;604.800;114.039693;10.358518;4.469422;1.646380;20.50;108.30;115.870073749;110;37344;292106582077;62164572764;7017188228;993946309;31601666;4066588204;87669078
big;200064;0;1799936;1498282;32;2;1200;622.800;126.574010;10.372194;4.548059;1.681885;18.53;103.20;116.093021318;104;37240;305486678966;62841052887;7008035521;994049702;31488894;4110020029;88615267
big;200064;0;1799936;1498763;32;2;1300;640.800;139.589880;10.338267;4.600133;1.723702;18.13;97.63;116.247182399;99;37232;318213969776;63313531526;7006471652;1015737666;31309236;4181426927;88838058
big;200064;0;1799936;1498108;32;2;1400;655.200;150.020460;10.288560;4.608286;1.726595;17.13;95.50;116.251870820;96;37236;335522698966;63477045954;6985137494;1012834137;30647807;4185350164;86421232
big;200064;0;1799936;1498745;32;2;1500;676.800;164.854449;10.342475;4.626696;1.738956;16.87;91.70;116.250597663;93;37256;348448336553;63637514041;6979643494;1034482577;30890119;4248367797;87107797
big;200064;0;1799936;1497934;32;2;1600;738.000;210.493628;10.306444;4.639846;1.833110;15.29;85.73;116.256641823;86;37260;372766542714;64087704731;6995760343;1050119109;30589346;4247487851;86387349
big;200064;0;1799936;1498133;32;2;1700;738.000;211.005163;10.311967;4.645895;1.835214;15.26;85.98;116.213936983;86;37388;372867639988;64015586779;6995698942;1047109332;30556212;4279229052;86268837
big;200064;0;1799936;1498445;32;2;1800;777.600;239.950680;10.301710;4.697443;1.902016;14.48;85.38;116.064664613;85;37232;392176354989;64213470329;7014169210;1047160118;30918117;4273315154;86693573
big;200064;0;1799936;1499119;32;2;1900;835.200;279.251559;10.341160;4.766086;1.989332;15.22;81.96;115.849190281;83;37316;404520080124;64322524775;6985770132;1033663325;31513604;4248515636;88472256
big;200064;0;1799936;1498409;32;2;2000;925.200;344.059756;10.372194;4.820264;2.193420;13.84;81.52;115.766223526;82;37236;420126011728;64457164219;7147989753;1037590885;32149170;4308279450;89488675
big;200064;0;1799936;1296136;64;1;200;2066.400;94.014610;38.240989;19.099323;6.248617;80.29;424.41;514.064323478;97;69920;222007935144;70195427350;6942963963;1048393483;50903408;4300961319;130852205
big;200064;0;1799936;1294694;64;1;300;1461.600;88.551574;27.512956;13.104764;4.320038;54.98;294.57;353.672681722;98;69980;229817778751;68500099557;6935070381;1034226800;47614654;4251511431;124856565
big;200064;0;1799936;1291655;64;1;400;1159.200;86.180103;22.066489;10.198351;3.457661;40.63;224.68;272.839876674;96;69992;233989661912;66971562148;6942370944;980931217;45106330;4096745817;122159570
big;200064;0;1799936;1291032;64;1;500;986.400;85.787707;18.832378;8.524093;2.927453;34.96;182.15;226.518647007;95;69916;239466809511;65829154636;6945183336;1002128220;43442805;4122632948;120264555
big;200064;0;1799936;1292028;64;1;600;867.600;85.114953;16.682353;7.369260;2.527693;28.57;152.95;194.619287197;93;70000;241809309014;64688209946;6948134063;995533133;42520199;4057610600;120269768
big;200064;0;1799936;1293186;64;1;700;810.000;87.167405;15.475183;6.755418;2.319923;25.21;134.73;178.400049207;89;70004;251921481586;64650871866;6957854189;990972318;40191594;4048278356;119980881
big;200064;0;1799936;1294693;64;1;800;774.000;95.206526;14.567570;6.290171;2.155022;22.11;120.11;165.822861211;85;69996;261425993457;64899895844;6967412897;1009440908;40970342;4066689071;119834321
big;200064;0;1799936;1295262;64;1;900;745.200;101.862530;13.868779;5.914344;2.040880;21.13;107.14;155.689854625;82;70068;269586141744;64832751298;6975894300;1000209787;40776142;4078499932;119470842
big;200064;0;1799936;1294923;64;1;1000;730.800;110.739306;13.358822;5.631882;1.969607;19.41;96.69;148.399152242;78;70000;278769427751;65137042944;6988244491;1010161523;40939921;4026772900;119698301
big;200064;0;1799936;1296591;64;1;1100;730.800;122.205054;13.090036;5.504853;1.986176;18.62;90.78;144.978359723;75;70056;291392302948;65387682975;6993093576;1022665565;40772639;4088108179;119341025
big;200064;0;1799936;1295840;64;1;1200;734.400;135.261163;12.992463;5.398075;2.160019;17.62;85.22;141.613784328;72;70028;306360025597;66141365565;7541169415;1027458882;42930097;4187902285;127847371
big;200064;0;1799936;1296099;64;1;1300;745.200;148.179986;12.714735;5.378350;2.024837;16.28;80.42;139.893413020;68;69948;313784760953;66247594735;7125819136;1050815795;40576154;4186001048;120538669
big;200064;0;1799936;1295651;64;1;1400;759.600;159.414557;12.737090;5.424638;2.066391;16.33;77.12;139.985271093;66;69952;331210909885;66720614169;7181364986;1035146842;41539928;4207567432;121738581
big;200064;0;1799936;1295043;64;1;1500;781.200;175.269775;12.727359;5.524315;2.061657;15.14;74.21;140.157762699;63;70000;342018254758;67107265747;7052602718;1054116813;40193301;4214298367;120495436
big;200064;0;1799936;1296185;64;1;1600;846.000;223.533694;12.699481;5.590328;2.148710;14.30;68.73;140.297021548;59;70028;365902371328;67801084047;7069603865;1062233755;39413638;4268235331;118658634
big;200064;0;1799936;1295411;64;1;1700;846.000;224.221702;12.701848;5.602952;2.178429;14.19;69.12;140.386944872;59;69960;366185268537;67775755267;7133566252;1072023399;39287517;4305994260;118566960
big;200064;0;1799936;1295993;64;1;1800;889.200;255.672031;12.763390;5.617943;2.285996;13.22;68.06;140.366845464;57;70052;383959879061;67992622472;7422007177;1043970483;40022383;4317770779;120729023
big;200064;0;1799936;1295678;64;1;1900;946.800;297.198153;12.748136;5.682904;2.290204;13.89;64.92;140.390975249;56;70052;393665958322;68269364292;7074210314;1086404412;39130171;4341939486;118085804
big;200064;0;1799936;1296108;64;1;2000;1036.800;363.612228;12.803892;5.806777;2.502182;12.88;63.54;140.424705436;54;69956;404494345810;68240492158;7081551355;1059548858;40191007;4333531632;118925263
big;200064;0;1799936;1294589;64;2;200;1976.400;94.197395;36.458638;18.177245;5.908295;95.20;444.33;489.407314477;109;69980;227582654048;73931810689;7257850475;1051984964;47321204;4190482483;132005817
