Frequency;Cores;CacheSize;P;rps;measured_P;measured_rps;delta_rps_rel;delta_P_rel;delta_rps;delta_P
200;1;32;3.9955118547892714;7415.373217399058;4.019137861994686;4285.708959260702;-0.4220508080153093;0.005913136555231345;-3129.6642581383567;0.023626007205414634
300;1;32;4.153910388772863;8801.393959436975;4.139663817818562;6215.7114381660085;-0.293781023004721;-0.0034296770081526464;-2585.6825212709664;-0.014246570954300708
400;1;32;4.29070145890976;10076.836592763359;4.2539831249364575;8065.952076102498;-0.19955513797901314;-0.008557652944381898;-2010.8845166608608;-0.03671833397330282
500;1;32;4.410566360632279;11241.70111737821;4.355626483996919;9718.042132969475;-0.13553633640493756;-0.012456422178734433;-1523.6589844087357;-0.05493987663535993
600;1;32;4.518186389372734;12295.987533281526;4.442992111166738;11322.60986535866;-0.07916221981261995;-0.016642579948197997;-973.3776679228667;-0.07519427820599578
700;1;32;4.618242840563443;13239.695840473312;4.523101659957983;12501.66296284683;-0.05574394506634656;-0.02060116453162794;-738.0328776264814;-0.09514118060546028
800;1;32;4.715417009636721;14072.826038953563;4.656974295162913;13835.336586936757;-0.016875747014809605;-0.012393965232421917;-237.48945201680544;-0.058442714473808444
900;1;32;4.814390192024884;14795.378128722283;4.7849491767113275;14850.866470239998;0.0037503834667122126;-0.006115211717223593;55.488341517715526;-0.029441015313556917
1e3;1;32;4.919843683160247;15407.352109779466;4.921084978003544;15803.098837519412;0.025685576919395204;2.5230371597909394e-4;395.74672773994644;0.0012412948432976023
1100;1;32;5.036458778475126;15908.747982125118;5.06734824438101;16272.794619078388;0.022883424727219773;0.006133171592290115;364.0466369532696;0.030889465905883817
1200;1;32;5.168916773401838;16299.565745759235;5.237447805411709;17015.749855138754;0.043938846012867155;0.013258296663339143;716.1841093795192;0.06853103200987132
1300;1;32;5.321898963372697;16579.805400681824;5.38783187998759;17402.557751897897;0.049623764051068935;0.01238898315595008;822.7523512160733;0.06593291661489253
1400;1;32;5.500086643820021;16749.466946892877;5.490017529006004;17329.6007860038;0.03463595832335083;-0.001830719307909527;580.1338391109239;-0.010069114814016622
1500;1;32;5.708161110176124;16808.550384392394;5.63145283718017;17284.99950024607;0.028345639865296427;-0.013438351075831325;476.44911585367663;-0.07670827299595384
1600;1;32;5.9508036578733225;16757.05571318038;6.1128624455001654;17065.50096454541;0.018406888217386466;0.02723309269537535;308.4452513650285;0.1620587876268429
