Config;Sets;SetMisses;Gets;GetMisses;CacheSize;CacheThreads;Frequency;E_ext;E_arm;E_mem;E_g3d;E_kfc;t_user;t_system;t_wall;perc_cpu;size_resident;cycles;instructions_k;instructions_u;LLC-store;LLC-store-misses;LLC-loads;LLC-load-misses;memoryHeaviness;instructions_adj;instructions;IPR;IPC;P_dyn_Rest;P_Rest;P_dyn_g3d;P_dyn_mem;P_dyn_kfc;P_dyn_arm;P_kfc;P_g3d;P_arm;P_mem;rps;EperRequest;uIPC;kIPC;uIPR;kIPR;instructions_u_adj;instructions_k_adj;P_ext;P;E_total;requests
big;200064;0;1799936;1498756;32;1;200;1875.6;86.266367;34.202887;17.553146;5.765486;77.09;387.57;466.667246659;96;37160;202263392221;63325709510;6667960816;938053649;40326410;4016515915;99500800;0.001997712212386432;64986663524.74272;69993670326;34996.835163;0.7499312500191954;0.06470906850329516;3.7110213463630077;6.136299053034477e-4;0.0110572622894956;0;0.1131011497395339;0.012354597502346073;0.03761383753770558;0.18485627096738588;0.07329180962424069;4285.708959260702;7.189394300000001e-5;0.07144234852282624;0.6784889014963691;3333.980408;31662.854755;2399610548.1235347;62587052976.61919;4.019137861994686;0.30811651563167824;143.78788600000001;2000000
big;200064;0;1799936;1493333;32;1;300;1332;80.942458;24.601809;12.108783;4.036524;52.3;267.43;321.765258876;99;37232;209020381586;61946321457;6665172451;921894751;36175773;3961559719;93977004;0.0018969529678878538;65159182113.81557;68611493908;34305.746954;0.7107820791226882;0.11515790145017446;3.761470179309887;6.321428652829239e-4;0.014224325465692626;0;0.18708334574419352;0.012544934198615803;0.037632350497685055;0.25155748101193587;0.07645887280043771;6215.7114381660085;6.0844787e-5;0.06904798106838278;0.6417340980543055;3332.5862255;30973.1607285;3722161475.300903;61437020638.51466;4.139663817818562;0.37819363850867443;121.68957400000001;2000000
big;200064;0;1799936;1492574;32;1;400;1054.8;78.639104;19.655305;9.401724;3.20334;39.51;205.04;247.955849617;98;37232;212577901223;60489312668;6665363368;911341818;34736020;3904967505;91547717;0.0018804905995273113;64494286573.632095;67154676036;33577.338018;0.6770829982407061;0.16041592983523323;3.806728207694946;9.167199759692116e-4;0.017034826750843814;0;0.25633413538474653;0.012918993461731088;0.03791692760837134;0.31714962208582015;0.0792693740855889;8065.952076102498;5.54497365e-5;0.06720312687012142;0.6098798713705846;3332.681684;30244.656334;4397446721.3714485;60096839852.26065;4.2539831249364575;0.44725491724151145;110.899473;2000000
big;200064;0;1799936;1491731;32;1;500;896.4;78.158077;16.765724;7.814782;2.67734;32.07;168.17;205.802771035;97;37228;216908382182;59341845809;6669799475;919925798;33551785;3825799227;90974949;0.0018864358472547112;63803528297.716606;66011645284;33005.822642;0.6415039501365478;0.1970960155372734;3.843408293396986;9.719827355835972e-4;0.019230458776123664;0;0.3189925671310904;0.013009251462142248;0.03797219036798573;0.37977174265893626;0.08146500611086875;9718.042132969475;5.27079615e-5;0.0648173923165077;0.5766865578200401;3334.8997375;29670.9229045;4787434001.172676;59016094296.54393;4.355626483996919;0.512218190599933;105.415923;2000000
big;200064;0;1799936;1494032;32;1;600;784.8;77.57185;14.715376;6.708604;2.298357;27.84;142.27;176.637720789;96;37152;219370094046;58132827393;6667319361;901279726;33488310;3820483074;91056424;0.001921982283046482;62904949960.82251;64800146754;32400.073377;0.6114223174279411;0.22322255279218384;3.8695348306518964;9.792452841901542e-4;0.021073683400285932;0;0.37479269529400205;0.013011699821158068;0.037979452916592285;0.43915789704206104;0.08330823073503102;11322.60986535866;5.064709349999999e-5;0.0629095466436295;0.5485127707843116;3333.6596805;29066.4136965;5051710662.843947;57853239297.97856;4.442992111166738;0.5734572805148423;101.29418699999998;2000000
big;200064;0;1799936;1494896;32;1;700;723.6;78.732469;13.594996;6.085294;2.085064;24;126.53;159.978716907;93;37160;227690927666;57873737982;6672521821;874598743;32613545;3737713549;91660871;0.0019253542556810384;62829802242.833855;64546259803;32273.1299015;0.5763825611210388;0.2485944262753521;3.8949067041350647;0.0010379396765148874;0.02274548165188032;0;0.42056983047368;0.013033383691982632;0.03803814730891702;0.49214339583539307;0.0849800289866254;12501.66296284683;5.02489115e-5;0.0595840135131307;0.5167985476079081;3336.2609105;28936.868991;5209283927.076215;57620518315.75764;4.523101659957983;0.6281949558229182;100.497823;2000000
big;200064;0;1799936;1497329;32;1;800;673.2;84.126599;12.48724;5.504064;1.88571;21.63;110.6;144.557379391;91;37312;231230578870;57361486276;6674679178;891509494;31842946;3676940665;90192177;0.0019057219015973592;62485167849.25154;64036165454;32018.082727;0.5537261892455386;0.29119952124694404;3.9375117991066566;0.001075081385618605;0.02414803688618499;0;0.49955564017082055;0.013044716277676257;0.038075289018020736;0.5819599065396286;0.08638258422093008;13835.336586936757;5.20018065e-5;0.057716520648405226;0.49600966859713336;3337.339589;28680.743138;5352491830.453064;57132676018.79848;4.656974295162913;0.7194624960562557;104.003613;2000000
big;200064;0;1799936;1497653;32;1;900;644.4;89.51731;11.774247;5.126922;1.784455;19.82;100.64;134.6722768;89;37192;237997698594;57115030689;6678707848;902462731;31741304;3731520816;90814110;0.0019211197965599486;62348801034.51629;63793738537;31896.8692685;0.5263290514724392;0.33518323659051896;3.9814955144502315;0.0010694093802657706;0.025194337657566866;0;0.5678475040231958;0.013250351463576058;0.0380696170126679;0.6647048087925399;0.08742888499231195;14850.866470239998;5.410146699999999e-5;0.05510255469132885;0.4712264967811104;3339.353924;28557.5153445;5446934131.566782;56901866902.94951;4.7849491767113275;0.8034536622610957;108.20293399999998;2000000
big;200064;0;1799936;1498214;32;1;1000;622.8;96.567025;11.187494;4.801065;1.721861;17.67;92.6;126.557456899;86;37240;245110472165;56935742296;6682784030;906367241;31687937;3657174889;90502353;0.0019206714939271163;62260655054.81102;63618526326;31809.263163;0.5026849297135543;0.3718038210267376;4.01811609888645;9.356447277754365e-4;0.026163989378332607;0;0.6480964396967832;0.013605369783735007;0.03793585236017757;0.763029120260104;0.0883985367130777;15803.098837519412;5.71387225e-5;0.05280434826794314;0.44988058144561116;3341.392015;28467.871148;5525232136.388456;56735422918.42256;4.921084978003544;0.9029688791170942;114.277445;2000000
big;200064;0;1799936;1498401;32;1;1100;622.8;106.389286;10.936329;4.676666;1.716864;16.69;88.24;122.90451928;85;37260;257155737476;57013912857;6686936034;877558907;32199333;3676980380;91253229;0.001938004974019146;62382171035.748924;63700848891;31850.4244455;0.47117765048372284;0.4144078480048079;4.0607201258645205;0.0010510050276112959;0.02674777051709038;0;0.7289951066234572;0.013969087630444698;0.03805121266001343;0.8656255003741958;0.08898231785183547;16272.794619078388;6.18595725e-5;0.04946142577827117;0.42171622470545167;3343.468017;28506.9564285;5562795564.4303665;56819375471.31856;5.06734824438101;1.0066281185164894;123.719145;2000000
big;200064;0;1799936;1498778;32;1;1200;615.6;115.547472;10.576808;4.555423;1.681359;13.81;83.85;117.538164173;82;37252;263786862477;57073906950;6784482614;922135833;31562154;3724162240;91048350;0.0019200375211015554;62597288872.586914;63858389564;31929.194782;0.45274932623876135;0.46502416677574177;4.111336444635454;0.001756761493770749;0.02775161226217012;0;0.8211129956412274;0.014304792080343121;0.03875696912617288;0.9830634399728247;0.08998615959691521;17015.749855138754;6.6180531e-5;0.04810127460681746;0.4046480516319439;3392.241307;28536.953475;5709425261.838906;56887863610.74801;5.237447805411709;1.126111360776256;132.361062;2000000
big;200064;0;1799936;1498896;32;1;1300;619.2;126.611619;10.37535;4.531227;1.696613;14.94;77.97;114.925634985;80;37172;272329928727;57205970889;6725222445;904163404;32208293;3745116791;90898962;0.0019256211026257956;62698123217.919655;63931193334;31965.596666999998;0.427910109285648;0.49536760985311323;4.141679887712826;0.0024272621448273995;0.028044266450831835;0;0.9107901735484997;0.014762702857560372;0.03942746977722953;1.1016830058543967;0.09027881378557692;17402.557751897897;7.16074045e-5;0.04501387384364326;0.38289623544200474;3362.6112225;28602.9854445;5674060469.553834;57024062748.36582;5.38783187998759;1.2461519922747635;143.214809;2000000
big;200064;0;1799936;1498574;32;1;1400;633.6;136.643491;10.377454;4.58935;1.712919;14.42;75.77;115.409467575;77;37312;287414788513;57726655111;6740011366;920481001;31381282;3812916489;89657794;0.0018775451347896753;63228405182.224045;64466666477;32233.3332385;0.39899342644673713;0.5151902062227767;4.161502484082489;0.0027655940512211347;0.02768402016281405;0;0.9605310168443142;0.014842101224380422;0.039765801683623266;1.1839885745179517;0.08991856749755914;17329.6007860038;7.6661607e-5;0.041714895094967196;0.35727853135176996;3370.005683;28863.3275555;5684424038.271413;57543981143.95263;5.490017529006004;1.3285150449235146;153.323214;2000000
big;200064;0;1799936;1498373;32;1;1500;651.6;150.563555;10.357466;4.610653;1.727384;13.81;72.8;115.707263976;74;37176;298311273123;58167983826;6742149278;952157877;30889317;3862393016;89190907;0.0018499457366326093;63668676666.18396;64910133104;32455.066552;0.37399053942118193;0.5396041923496431;4.185916470209356;0.002847359768001892;0.027279849982162756;0;1.0416008660303169;0.01492891578836653;0.03984756740040402;1.301245486465136;0.08951439731690784;17284.99950024607;8.362952900000001e-5;0.0388460156336048;0.33514452378757714;3371.074639;29083.991913;5683838169.339537;57984838496.84442;5.63145283718017;1.4455363669708143;167.259058;2000000
big;200064;0;1799936;1498643;32;1;1600;716.4;192.993082;10.495804;4.681137;1.829165;12.49;68.01;117.195504788;68;36984;319030764876;58905756981;6768506940;967293076;30965059;3898008844;89575413;0.001835429357000467;64416839720.45593;65674263921;32837.1319605;0.350238816965511;0.6746794949565769;4.320991772816289;0.0029427663619324695;0.027323529308094695;0;1.3473077929213542;0.015607808535906351;0.0399429739943346;1.6467618135107955;0.08955807664283978;17065.50096454541;1.0499959399999999e-4;0.036096238035344466;0.31414257893016656;3384.25347;29452.8784905;5696583705.967458;58720256014.48847;6.1128624455001654;1.7918706726838762;209.99918799999998;2000000
big;200064;0;1799936;1498295;32;1;1700;709.2;192.854218;10.421112;4.628537;1.800498;12.83;67.79;115.979420519;69;37196;320426549485;59004207022;6784217245;973993221;31120268;3918089100;90106443;0.001842675399976228;64544047783.5378;65788424267;32894.2121335;0.3336718956264791;0.660448635109081;4.306760912968794;0.002908053499509136;0.0276185658586666;0;1.3199456057112755;0.015524288636232998;0.03990826113191127;1.6628313638487804;0.08985311319341169;17244.43863445891;1.048521825e-4;0.034408828813011876;0.2992630668134672;3392.1086225;29502.103511;5723416869.176402;58820630914.361404;6.11487793977913;1.8081170268103364;209.704365;2000000
big;200064;0;1799936;1498526;32;1;1800;745.2;220.506038;10.462929;4.686397;1.949619;12.54;67.03;115.792610056;68;37260;337440369533;59154253022;7012841104;950423110;31988857;3946049020;93528385;0.0018969737700885172;64924721985.601265;66167094126;33083.547063;0.31745978192294755;0.7373441295268672;4.38365640738658;0.003472124736075874;0.02812466466453436;0;1.5143789131117722;0.016837162570712577;0.040472332368478005;1.9043187461907813;0.09035921199927945;17272.259421674262;1.188024915e-4;0.03364655856424126;0.2838132233587063;3506.420552;29577.126511;5953749381.388079;58970972604.21319;6.435643860515831;2.0519874531292515;237.604983;2000000
